hotel_star,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,,4,16,45,119,216,261,253,234,203,134,156,79,2
1,,,,4,5,7,7,10,26,51,153,164,147,1
2,,3,19,78,232,529,541,819,1241,1826,1958,1743,1587,64
3,4,17,51,161,301,1147,909,1281,1766,2804,3482,4498,5465,215
4,4,20,65,167,166,328,502,842,1414,2445,3090,4354,5765,296
5,6,49,112,196,193,331,524,985,1795,2771,3713,4666,5738,249
,,,,,,,,,,,,,,
Number of response reviews,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
hotel_star,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,,0,0,5,8,33,25,55,43,39,17,46,3,0
1,,,,0,0,0,0,0,0,2,9,13,26,0
2,,0,0,10,7,18,24,51,111,305,497,460,575,22
3,2,8,29,37,83,157,266,267,551,1086,1565,2231,3004,122
4,0,8,10,11,23,12,87,185,607,1320,1719,3435,5054,242
5,4,14,5,0,10,49,84,197,599,1603,3257,3825,4988,185
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Average of response rate over year,,,,,,,,,,,,,,
hotel_star,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,#DIV/0!,0,0,11.1,6.7,15.3,9.6,21.7,18.4,19.2,12.7,29.5,3.8,0
1,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,3.9,5.9,7.9,17.7,0
2,#DIV/0!,0,0,12.8,3,3.4,4.4,6.2,8.9,16.7,25.4,26.4,36.2,34.4
3,50,47.1,56.9,23,27.6,13.7,29.3,20.8,31.2,38.7,44.9,49.6,55,56.7
4,0,40,15.4,6.6,13.9,3.7,17.3,22,42.9,54,55.6,78.9,87.7,81.8
5,66.7,28.6,4.5,0,5.2,14.8,16,20,33.4,57.8,87.7,82,86.9,74.3
